;f0
5FTHFabc;0.0004693063787939373
ACt;0.009654639338283666
ADNabc;0.1739607686607775
CA2abc;0.0012503364978336882
CO2t;0.0
COAabc;0.0005636794919775548
DADNabc;0.0008796490171495962
DCYTabc;0.0008573004283172732
DGSNabc;0.0008006260153322609
FAt;0.013834310139090736
FORt;7.892151732654648e-05
GLCpts;2.736275284738509
GLYCt;0.0025281221849083055
GSNabc;0.2123251666563722
H2Ot;0.0
Kt6;0.001331929288928711
LIPTA;0.0002707801843158788
MG2abc;0.0020038054366088363
NACabc;0.0009027455023713447
NAt;0.00014178564321941654
NH3t;9.387323241764026e-05
O2t;0.16756622323331827
P5Pabc;0.0002791167733792503
PIabc;0.6262458709135934
PYRt2r;0.8928509321529235
RIBFLVabc;0.0003893073026573792
SPRMabc;0.00031476443059142974
THMDabc;0.0008917154862413119
THMPPabc;0.00019869314840743714
URAt2;0.05157426489061906
AA_t2r;0.004892212653957931
5FTHFPGS;0.00043957049602971635
ACKr;0.09123471175481374
ACPPAT;0.26390539882673036
ACPS;0.0022091909172274344
ADK1;1.0091473407282072
ADPT;0.11425439575469878
AGPAT;0.2720713592722847
APG3PAT;0.013238141092792043
BPNT;0.0
CLPNS;0.00020445915146128263
CTPS2;0.25160116105872454
CYTK1;0.00018393204300218665
CYTK2;0.0003718480612686011
DADK;0.0004263735254753529
DADNK;0.0005910389947149573
DAGGALT;0.0001367432141483498
DAGPST;0.3722978166027286
DASYN;0.0006828374186606978
DCYTK;0.000549663612040984
DGK1;0.0003586447083467402
DGSNK;0.0005249430170607053
ENO;1.9754257760996605
FAKr;0.03952660444076898
FBA;1.8396278963529016
FTHFCL;0.00015463988074833235
GALU;1.587400899869066
GAPD;10.0
GK1;0.227152008459369
GLYK;0.01584467176741385
GUAPRT;0.14103416640002758
LDH_L;0.367642701076778
NADS;0.000318550659387036
NCTPPRT;0.0003415391429040426
NNATr;0.00033842401589337254
NOX;7.12257133042188
PAPA;0.017026037592303672
PDH_E1;9.882782306708863
PDH_E2;10.0
PDH_E3;9.97657500037609
PFK;4.167173811094877
PGI;1.491724262514583
PGK;7.406236153117226
PGK2;0.00019670367434772076
PGK4;0.0
PGM;1.9755150618139463
PGMT;0.5543631198320786
PGPP;0.0003314602188670441
PGSA;0.0005751222615696195
PPA;0.7766110969932506
PPM;0.1102973040095323
PRPPS;0.6865168371001203
PSSYN;1.2113851701666223
PTAr;0.14688478490343346
PUNP1;0.08002283086905987
PUNP3;0.0999767201901006
PYK2;1.4755323879144726
PYK3;0.15918696205237237
PYK4;0.0
PYK6;0.00012527762845928307
PYK7;0.0001252195190914786
PYK8;0.00016784034682986116
RBFK;0.00017284418798758152
RPE;0.06937732749204255
RPI;0.06928804177775684
TALA;0.06943447010898995
TKT1;0.06929311444151866
TKT2;0.06505644402123058
TMDK1;0.0005959250208160324
TMPK;0.0004286678699311121
TPI;0.9197246624621651
UDPG4E;1.211630328518131
UDPGALM;1.2115410428038453
UMPK;0.37547963597127787
UPPRT;0.22630260021338358
AATRS;0.7776373852398852
ACP_transl;0.40840428793642247
PdhC_transl;0.06703383439712807
dUTPase_transl;0.01684931666626299
DNAP;0.00034713979015911067
tRNAP;0.7045258528189855
Ribosome;0.3069652932734454
